metric,value
epoch,3.000000
eval_f1_Estrogen_receptor,0.843750
eval_f1_HER2_FISH,0.333333
eval_f1_HER2_IHC,0.500000
eval_f1_HER2_status,0.651163
eval_f1_Ki67,0.863636
eval_f1_Progesterone_receptor,0.807018
eval_f1_macro,0.229898
eval_loss,0.283150
eval_precision_macro,0.229711
eval_recall_macro,0.242515
eval_runtime,74.606800
eval_samples_per_second,28.014000
eval_steps_per_second,0.885000
eval_support_Estrogen_receptor,31.000000
eval_support_HER2_FISH,4.000000
eval_support_HER2_IHC,15.000000
eval_support_HER2_status,16.000000
eval_support_Ki67,20.000000
eval_support_Progesterone_receptor,30.000000
