fichier,entite,valeur,methode_utilisee,confiance,energie_kwh,Te,He,Freq,Feas,methode_recommandee,justification
cc_onco1000.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco1000.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco102.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco102.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco103.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco103.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco105.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco105.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco107.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco107.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco108.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco108.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco109.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco109.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco110.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco110.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco111.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco111.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco115.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco115.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco118.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco118.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco119.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco119.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco120.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco120.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco125.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco125.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
cc_onco128.txt,Histologie_tumorale,,None,0.0,0.0,13.2,85.37,0.003439,0.935,RÈGLES,"Te=0.1≥0.1, He=0.9≥0.85, R=0.041≤0.25"
cc_onco128.txt,Symptomes,,None,0.0,0.0,13.3,74.4,0.003613,0.898,TBM,Feas=0.898≥0.5 — Transformer (DrBERT) faisable.
