SectionAnnotate	0.0940	0.9867	0.0000	0.0030	0.9950	TBM	Feas=0.995≥0.5 — Transformer (DrBERT) faisable.
PROBLEM	0.2430	0.9660	0.6541	0.0642	0.9860	TBM	Feas=0.986≥0.5 — Transformer (DrBERT) faisable.
TREATMENT	0.2180	0.8545	0.3551	0.0250	0.9420	TBM	Feas=0.942≥0.5 — Transformer (DrBERT) faisable.
TEST	0.2500	0.9570	0.4561	0.0348	0.9830	TBM	Feas=0.983≥0.5 — Transformer (DrBERT) faisable.
Pathology	0.3180	0.9723	0.0074	0.0032	0.9890	RÈGLES	Te=0.3≥0.1, He=1.0≥0.85, R=0.007≤0.25
MedicationName	0.2050	0.7704	0.0030	0.0040	0.9080	TBM	Feas=0.908≥0.5 — Transformer (DrBERT) faisable.
Symptom	0.3130	0.8581	0.0508	0.0149	0.9430	RÈGLES	Te=0.3≥0.1, He=0.9≥0.85, R=0.051≤0.25
ClinicalCondition	0.2770	0.8522	0.0511	0.0104	0.9410	RÈGLES	Te=0.3≥0.1, He=0.9≥0.85, R=0.051≤0.25
TreatmentType	0.3300	0.9449	0.0083	0.0040	0.9780	RÈGLES	Te=0.3≥0.1, He=0.9≥0.85, R=0.008≤0.25
DiseaseState	0.2270	0.7241	0.0000	0.0007	0.4760	LLM	Feas=0.476<0.5 — Escalade vers LLM nécessaire.
Metastasis	0.4860	0.9567	0.0089	0.0013	0.7190	RÈGLES	Te=0.5≥0.1, He=1.0≥0.85, R=0.009≤0.25
Radiology	0.3290	0.9656	0.0028	0.0043	0.9860	RÈGLES	Te=0.3≥0.1, He=1.0≥0.85, R=0.003≤0.25
Datetime	0.5240	0.9814	0.0015	0.0082	0.9930	RÈGLES	Te=0.5≥0.1, He=1.0≥0.85, R=0.002≤0.25
RadPathResult	0.1710	0.8691	0.2034	0.0069	0.9480	RÈGLES	Te=0.2≥0.1, He=0.9≥0.85, R=0.203≤0.25
Site	0.4150	0.9646	0.2038	0.0155	0.9860	RÈGLES	Te=0.4≥0.1, He=1.0≥0.85, R=0.204≤0.25
Laterality	0.3150	0.9916	0.0000	0.0084	0.9970	RÈGLES	Te=0.3≥0.1, He=1.0≥0.85, R=0.000≤0.25
Size	0.3640	0.9852	0.0000	0.0033	0.9940	RÈGLES	Te=0.4≥0.1, He=1.0≥0.85, R=0.000≤0.25
ProcedureName	0.2340	0.7345	0.0603	0.0046	0.8940	TBM	Feas=0.894≥0.5 — Transformer (DrBERT) faisable.
Histology	0.3230	0.9168	0.0000	0.0026	0.9670	RÈGLES	Te=0.3≥0.1, He=0.9≥0.85, R=0.000≤0.25
BiomarkerName	0.5980	0.9822	0.0023	0.0052	0.9930	RÈGLES	Te=0.6≥0.1, He=1.0≥0.85, R=0.002≤0.25
BiomarkerResult	0.4130	0.9371	0.7500	0.0049	0.9750	TBM	Feas=0.975≥0.5 — Transformer (DrBERT) faisable.
RadiationTherapyName	0.1710	0.7602	0.0000	0.0002	0.3580	LLM	Feas=0.358<0.5 — Escalade vers LLM nécessaire.
Grade	0.8080	0.9715	0.0000	0.0008	0.5870	RÈGLES	Te=0.8≥0.1, He=1.0≥0.85, R=0.000≤0.25
MarginStatus	0.2290	0.8131	0.1667	0.0003	0.3970	LLM	Feas=0.397<0.5 — Escalade vers LLM nécessaire.
LocalInvasion	0.2240	0.7311	0.0000	0.0003	0.3760	LLM	Feas=0.376<0.5 — Escalade vers LLM nécessaire.
LymphNodeInvolvement	0.2330	0.9171	0.1176	0.0021	0.9010	RÈGLES	Te=0.2≥0.1, He=0.9≥0.85, R=0.118≤0.25
LivingCondition	0.1060	0.7720	0.0000	0.0005	0.4290	LLM	Feas=0.429<0.5 — Escalade vers LLM nécessaire.
Age	0.7340	0.6550	0.0117	0.0030	0.8620	TBM	Feas=0.862≥0.5 — Transformer (DrBERT) faisable.
Stage	0.2800	0.7186	0.0000	0.0007	0.4670	LLM	Feas=0.467<0.5 — Escalade vers LLM nécessaire.
TNM	0.1480	0.2398	0.0000	0.0004	0.1860	LLM	Feas=0.186<0.5 — Escalade vers LLM nécessaire.
MedicationRegimen	0.2270	0.8014	0.0000	0.0012	0.6210	TBM	Feas=0.621≥0.5 — Transformer (DrBERT) faisable.
SectionSkip	0.1000	0.9787	0.6750	0.0029	0.9910	TBM	Feas=0.991≥0.5 — Transformer (DrBERT) faisable.
MaritalStatus	0.0850	0.8411	0.0000	0.0004	0.4260	LLM	Feas=0.426<0.5 — Escalade vers LLM nécessaire.
Tobacco	0.0800	0.9116	0.0000	0.0006	0.5150	TBM	Feas=0.515≥0.5 — Transformer (DrBERT) faisable.
Alcohol	0.0450	0.6027	0.0000	0.0003	0.3190	LLM	Feas=0.319<0.5 — Escalade vers LLM nécessaire.
Drugs	0.0540	0.8868	0.0000	0.0002	0.4090	LLM	Feas=0.409<0.5 — Escalade vers LLM nécessaire.
Duration	0.1810	0.8276	0.0000	0.0011	0.6010	TBM	Feas=0.601≥0.5 — Transformer (DrBERT) faisable.
TumorCharacteristics	0.1310	0.0450	0.0000	0.0004	0.1200	LLM	Feas=0.120<0.5 — Escalade vers LLM nécessaire.
ap_end	0.1060	0.0273	0.0250	0.0005	0.1310	LLM	Feas=0.131<0.5 — Escalade vers LLM nécessaire.
ap_start	0.2800	0.9707	0.0000	0.0005	0.5080	RÈGLES	Te=0.3≥0.1, He=1.0≥0.85, R=0.000≤0.25
hpi_start	0.0980	0.6117	0.0000	0.0005	0.3830	LLM	Feas=0.383<0.5 — Escalade vers LLM nécessaire.
hpi_end	0.0430	0.0120	0.0000	0.0005	0.1430	LLM	Feas=0.143<0.5 — Escalade vers LLM nécessaire.
RadiationTherapyModifier	0.0000	0.6700	0.0000	0.0000	0.0150	LLM	Feas=0.015<0.5 — Escalade vers LLM nécessaire.
TumorTest	0.0240	0.0273	0.0000	0.0002	0.0530	LLM	Feas=0.053<0.5 — Escalade vers LLM nécessaire.
TestResult	0.0000	0.0143	0.0000	0.0001	0.0360	LLM	Feas=0.036<0.5 — Escalade vers LLM nécessaire.
Employment	0.0130	0.1989	0.0000	0.0004	0.1880	LLM	Feas=0.188<0.5 — Escalade vers LLM nécessaire.
ConsumptionQuantity	0.1110	0.4322	0.0000	0.0003	0.2510	LLM	Feas=0.251<0.5 — Escalade vers LLM nécessaire.
Frequency	0.1980	0.4829	0.0000	0.0010	0.4330	LLM	Feas=0.433<0.5 — Escalade vers LLM nécessaire.
PatientCharacteristics	0.1850	0.2464	0.0000	0.0012	0.3990	LLM	Feas=0.399<0.5 — Escalade vers LLM nécessaire.
ClinicalTrial	0.1910	0.1733	0.0000	0.0005	0.1950	LLM	Feas=0.195<0.5 — Escalade vers LLM nécessaire.
DiagnosticLabTest	0.1610	0.0559	0.0000	0.0004	0.1180	LLM	Feas=0.118<0.5 — Escalade vers LLM nécessaire.
LabTestResult	0.0300	0.0399	0.0000	0.0001	0.0520	LLM	Feas=0.052<0.5 — Escalade vers LLM nécessaire.
GenomicTest	0.1560	0.8950	0.0213	0.0011	0.6400	RÈGLES	Te=0.2≥0.1, He=0.9≥0.85, R=0.021≤0.25
SDoH	0.0000	0.0196	0.0000	0.0002	0.0620	LLM	Feas=0.062<0.5 — Escalade vers LLM nécessaire.
Cycles	0.4790	0.8280	0.0000	0.0007	0.5050	TBM	Feas=0.505≥0.5 — Transformer (DrBERT) faisable.
PhysicalActivity	0.1180	0.0273	0.0000	0.0003	0.0950	LLM	Feas=0.095<0.5 — Escalade vers LLM nécessaire.
