Entity,He_Score_Percent,Total_Occurrences,Total_Words,Unique_Words
Laterality,99.16,354,354,8
SectionAnnotate,98.67,126,290,20
Size,98.52,139,561,45
BiomarkerName,98.22,218,243,24
Datetime,98.14,343,872,90
SectionSkip,97.87,120,19651,2300
Pathology,97.23,136,236,34
Grade,97.15,33,34,5
ap_start,97.07,20,20,3
PROBLEM,96.6,2700,7651,1266
Radiology,96.56,181,246,41
Site,96.46,651,1269,215
TEST,95.7,1465,2957,561
Metastasis,95.67,56,63,12
TreatmentType,94.49,168,241,52
BiomarkerResult,93.71,207,161,37
LymphNodeInvolvement,91.71,89,181,47
Histology,91.68,110,223,58
Tobacco,91.16,25,45,12
GenomicTest,89.5,47,70,20
Drugs,88.68,9,17,5
RadPathResult,86.91,292,1162,361
Symptom,85.81,625,1006,322
TREATMENT,85.45,1050,2344,757
ClinicalCondition,85.22,436,742,241
MaritalStatus,84.11,15,18,6
GenomicTestResult,83.71,56,113,38
Cycles,82.8,29,35,12
Duration,82.76,45,102,35
MarginStatus,81.31,12,17,6
MedicationRegimen,80.14,50,86,31
LivingCondition,77.2,20,82,31
MedicationName,77.04,167,190,72
RadiationTherapyName,76.02,9,13,5
ProcedureName,73.45,195,339,135
LocalInvasion,73.11,14,20,8
DiseaseState,72.41,31,57,23
Stage,71.86,30,32,13
Age,65.5,128,156,68
hpi_start,61.17,23,22,10
Alcohol,60.27,13,24,11
Insurance,50.0,3,4,2
Frequency,48.29,40,73,37
ConsumptionQuantity,43.22,13,55,29
PatientCharacteristics,24.64,50,85,52
TNM,23.98,15,26,16
Employment,19.89,18,61,39
ClinicalTrial,17.33,21,32,21
ProcedureOutcome,15.89,2,6,4
SDoHModifier,7.59,2,4,3
DiagnosticLabTest,5.59,16,23,18
Allergy,4.74,11,15,12
TumorCharacteristics,4.5,17,36,29
LabTestResult,3.99,6,11,9
ap_end,2.73,20,14,12
TumorTest,2.73,7,7,6
PhysicalActivity,2.73,14,28,24
SDoH,1.96,9,46,41
TestResult,1.43,5,13,12
hpi_end,1.2,23,17,16
RadiationTherapyModifier,0.67,2,5,5
TreatmentDosage,0.67,3,3,3
MedicationModifier,0.67,3,4,4
UnspecifiedEntity,0.67,1,5,5
SexualOrientation,0.0,1,1,1
