Entity,Feas_Score,Domain_Shift,LLM_Necessity
PROBLEM,0.986,0.46,0.964
TEST,0.983,0.462,0.769
TREATMENT,0.942,0.526,0.699
Site,0.986,0.403,0.514
Symptom,0.943,0.493,0.393
ClinicalCondition,0.941,0.508,0.395
Laterality,0.997,0.423,0.302
Datetime,0.993,0.358,0.307
RadPathResult,0.948,0.534,0.543
BiomarkerName,0.993,0.333,0.308
BiomarkerResult,0.975,0.418,1.0
ProcedureName,0.894,0.583,0.44
Radiology,0.986,0.432,0.313
TreatmentType,0.978,0.442,0.325
MedicationName,0.908,0.574,0.372
Size,0.994,0.41,0.304
Pathology,0.989,0.432,0.316
Age,0.862,0.458,0.415
SectionAnnotate,0.995,0.499,0.304
SectionSkip,0.991,0.501,0.982
Histology,0.967,0.459,0.325
LymphNodeInvolvement,0.901,0.489,0.459
Metastasis,0.719,0.384,0.388
GenomicTestResult,0.671,0.532,0.637
MedicationRegimen,0.621,0.551,0.434
PatientCharacteristics,0.399,0.854,0.601
GenomicTest,0.64,0.526,0.432
Duration,0.601,0.553,0.434
Frequency,0.433,0.726,0.545
Grade,0.587,0.269,0.409
DiseaseState,0.476,0.591,0.486
Stage,0.467,0.576,0.49
Cycles,0.505,0.453,0.458
Tobacco,0.515,0.543,0.439
hpi_start,0.383,0.693,0.532
hpi_end,0.143,1.0,0.712
ClinicalTrial,0.195,0.89,0.667
LivingCondition,0.429,0.607,0.488
ap_end,0.131,0.994,0.737
ap_start,0.508,0.445,0.429
Employment,0.188,0.936,0.663
TumorCharacteristics,0.12,0.976,0.711
DiagnosticLabTest,0.118,0.961,0.709
TNM,0.186,0.869,0.656
MaritalStatus,0.426,0.578,0.475
LocalInvasion,0.376,0.588,0.51
PhysicalActivity,0.095,0.99,0.721
Alcohol,0.319,0.715,0.55
ConsumptionQuantity,0.251,0.782,0.601
MarginStatus,0.397,0.544,0.655
Allergy,0.085,0.978,0.719
RadiationTherapyName,0.358,0.591,0.508
Drugs,0.409,0.564,0.47
SDoH,0.062,1.0,0.731
TumorTest,0.053,1.0,0.731
LabTestResult,0.052,1.0,0.729
TestResult,0.036,1.0,0.738
Insurance,0.218,0.756,0.596
TreatmentDosage,0.021,1.0,0.743
MedicationModifier,0.021,1.0,0.743
RadiationTherapyModifier,0.015,1.0,0.745
SDoHModifier,0.042,1.0,0.724
ProcedureOutcome,0.076,0.961,0.699
SexualOrientation,0.006,0.71,0.748
UnspecifiedEntity,0.009,0.707,0.746
