Entity,R_Score,Negation_Rate,Uncertainty_Rate,Contradiction_Rate,Count
BiomarkerResult,0.75,0.0,0.0,0.75,207
SectionSkip,0.675,0.0,0.05,0.65,120
PROBLEM,0.6541,0.0,0.01,0.65,2700
TEST,0.4561,0.0,0.01,0.45,1465
TREATMENT,0.3551,0.0,0.01,0.35,1050
GenomicTestResult,0.2222,0.0,0.0,0.22,56
Site,0.2038,0.0,0.01,0.2,651
RadPathResult,0.2034,0.0,0.01,0.2,292
MarginStatus,0.1667,0.0,0.0,0.17,12
LymphNodeInvolvement,0.1176,0.0,0.0,0.12,89
ProcedureName,0.0603,0.0,0.02,0.05,195
ClinicalCondition,0.0511,0.0,0.0,0.05,436
Symptom,0.0508,0.0,0.0,0.05,625
ap_end,0.025,0.0,0.05,0.0,20
GenomicTest,0.0213,0.0,0.04,0.0,47
Age,0.0117,0.0,0.02,0.0,128
Metastasis,0.0089,0.0,0.02,0.0,56
TreatmentType,0.0083,0.01,0.01,0.0,168
Pathology,0.0074,0.0,0.01,0.0,136
MedicationName,0.003,0.0,0.01,0.0,167
Radiology,0.0028,0.0,0.01,0.0,181
BiomarkerName,0.0023,0.0,0.0,0.0,218
Datetime,0.0015,0.0,0.0,0.0,343
SectionAnnotate,0.0,0.0,0.0,0.0,126
DiseaseState,0.0,0.0,0.0,0.0,31
Laterality,0.0,0.0,0.0,0.0,354
Size,0.0,0.0,0.0,0.0,139
Histology,0.0,0.0,0.0,0.0,110
RadiationTherapyName,0.0,0.0,0.0,0.0,9
Grade,0.0,0.0,0.0,0.0,33
LocalInvasion,0.0,0.0,0.0,0.0,14
LivingCondition,0.0,0.0,0.0,0.0,20
Stage,0.0,0.0,0.0,0.0,30
TNM,0.0,0.0,0.0,0.0,15
MedicationRegimen,0.0,0.0,0.0,0.0,50
MaritalStatus,0.0,0.0,0.0,0.0,15
Tobacco,0.0,0.0,0.0,0.0,25
Alcohol,0.0,0.0,0.0,0.0,13
Drugs,0.0,0.0,0.0,0.0,9
Duration,0.0,0.0,0.0,0.0,45
TumorCharacteristics,0.0,0.0,0.0,0.0,17
ap_start,0.0,0.0,0.0,0.0,20
hpi_start,0.0,0.0,0.0,0.0,23
hpi_end,0.0,0.0,0.0,0.0,23
RadiationTherapyModifier,0.0,0.0,0.0,0.0,2
TumorTest,0.0,0.0,0.0,0.0,7
TestResult,0.0,0.0,0.0,0.0,5
Employment,0.0,0.0,0.0,0.0,18
ConsumptionQuantity,0.0,0.0,0.0,0.0,13
Frequency,0.0,0.0,0.0,0.0,40
PatientCharacteristics,0.0,0.0,0.0,0.0,50
ClinicalTrial,0.0,0.0,0.0,0.0,21
DiagnosticLabTest,0.0,0.0,0.0,0.0,16
LabTestResult,0.0,0.0,0.0,0.0,6
SDoH,0.0,0.0,0.0,0.0,9
Cycles,0.0,0.0,0.0,0.0,29
PhysicalActivity,0.0,0.0,0.0,0.0,14
Insurance,0.0,0.0,0.0,0.0,3
SDoHModifier,0.0,0.0,0.0,0.0,2
Allergy,0.0,0.0,0.0,0.0,11
TreatmentDosage,0.0,0.0,0.0,0.0,3
MedicationModifier,0.0,0.0,0.0,0.0,3
SexualOrientation,0.0,0.0,0.0,0.0,1
UnspecifiedEntity,0.0,0.0,0.0,0.0,1
ProcedureOutcome,0.0,0.0,0.0,0.0,2
