corpus,role,entity,demne,reference,match,distance
maccrobat,train,Activity,LLM,LLM,exact,0
maccrobat,train,Administration,RULES,TBM,discordant,-1
maccrobat,train,Age,RULES,RULES,exact,0
maccrobat,train,Area,RULES,RULES,exact,0
maccrobat,train,Biological_structure,RULES,TBM,discordant,-1
maccrobat,train,Clinical_event,RULES,RULES,exact,0
maccrobat,train,Color,TBM,RULES,discordant,1
maccrobat,train,Coreference,TBM,TBM,exact,0
maccrobat,train,Date,RULES,TBM,discordant,-1
maccrobat,train,mac_Detailed_description,TBM,TBM,exact,0
maccrobat,train,mac_Diagnostic_procedure,RULES,TBM,discordant,-1
maccrobat,train,Disease_disorder,TBM,TBM,exact,0
maccrobat,train,Distance,RULES,RULES,exact,0
maccrobat,train,Dosage,RULES,RULES,exact,0
maccrobat,train,Duration,RULES,TBM,discordant,-1
maccrobat,train,Family_history,TBM,RULES,discordant,1
maccrobat,train,Frequency,TBM,RULES,discordant,1
maccrobat,train,History,TBM,TBM,exact,0
maccrobat,train,Lab_value,TBM,TBM,exact,0
maccrobat,train,Medication,TBM,TBM,exact,0
maccrobat,train,Nonbiological_location,RULES,TBM,discordant,-1
maccrobat,train,Personal_background,TBM,RULES,discordant,1
maccrobat,train,Severity,RULES,TBM,discordant,-1
maccrobat,train,Sex,RULES,RULES,exact,0
maccrobat,train,Shape,TBM,RULES,discordant,1
maccrobat,train,Sign_symptom,TBM,TBM,exact,0
maccrobat,train,Therapeutic_procedure,TBM,TBM,exact,0
quearo,train,DISO,TBM,TBM,exact,0
quearo,train,PROC,TBM,TBM,exact,0
quearo,train,ANAT,TBM,TBM,exact,0
quearo,train,CHEM,TBM,TBM,exact,0
quearo,train,DEVI,LLM,RULES,discordant,2
quearo,train,LIVB,TBM,TBM,exact,0
quearo,train,PHYS,TBM,RULES,discordant,1
quearo,train,PHEN,LLM,RULES,discordant,2
quearo,train,GEOG,LLM,RULES,discordant,2
quearo,train,OBJC,LLM,RULES,discordant,2
cantemist,train,Histologie_tumorale,RULES,RULES,exact,0
cantemist,train,Traitement_specifique_du_cancer,TBM,LLM,discordant,-1
cantemist,train,Signes_physiques,TBM,LLM,discordant,-1
cantemist,train,Evolutivite_en_lien_avec_le_cancer,LLM,LLM,exact,0
cantemist,train,Reponse_a_la_chimiotherapie,RULES,RULES,exact,0
